Ip,TMS,IL,Isc,PWT1,PWT3,FL,Ftype_2,Ftype_3,Ftype_4
300.901,0.1,250.7508,3968.128,17.6,17.6,10,0,0,0
517.2218,0.2,431.0182,5491.611,34.51,34.51,40,0,0,0
111.7845,0.1,93.15374,4264.873,2.6,2.6,80,1,0,0
354.223,0.4,295.1858,4123.352,21.77,21.77,10,0,0,0
534.9987,0.1,445.8323,3861.33,35.9,35.9,5,0,1,0
561.8514,0.15,468.2095,4660.932,38,38,10,0,0,0
219.2999,0.1,182.7499,3129.66,11.2,11.2,5,0,1,0
112.2678,0.35,93.55646,4500.673,2.64,2.64,65,0,0,0
350.8969,0.25,292.4141,5580.955,21.51,21.51,60,0,0,0
120.4059,0.15,100.3383,3951.124,3.31,3.31,40,0,0,0
467.4608,0.15,389.5507,4697.81,30.62,30.62,20,0,0,0
547.0191,0.15,455.8493,5992.078,36.84,36.84,50,0,0,0
465.6696,0.2,388.058,4988.442,30.48,30.48,30,0,0,0
214.8544,0.15,179.0453,3699.607,10.85,10.85,10,0,0,0
687.0934,0.1,572.5778,6603.115,47.8,47.8,70,1,0,0
312.404,0.1,260.3366,3768.091,18.5,18.5,25,1,0,0
176.136,0.1,146.78,4580.192,7.79,7.79,55,0,0,0
129.23,0.35,107.6917,3494.486,4.03,4.03,15,0,0,0
681.8558,0.2,568.2132,6724.272,47.39,47.39,55,0,0,0
701.4001,0.25,584.5001,7074.354,48.92,48.92,60,0,0,0
720.303751344157,0.1,600.253126120131,6633.25854267528,50.4000015258789,50.4000015258789,40,0,0,1
156.173183215665,0.1,130.144319346388,4016.47581261284,6.19999980926514,6.19999980926514,20,0,0,1
441.615460724679,0.1,368.012883937232,7514.60850344953,28.6000003814697,28.6000003814697,75,0,0,1
496.6286,0.1,413.8572,6057.503,32.9,32.9,75,1,0,0
487.6741,0.1,406.3951,4112.268,32.2,32.2,20,0,1,0
948.8561,0.1,790.7134,6602.149,68.3,68.3,55,1,0,0
895.231825149604,0.1,746.026520958003,5465.72353917977,64.0999984741211,64.0999984741211,5,0,0,1
539.986,0.35,449.9884,5212.72,36.29,36.29,30,0,0,0
207.8744,0.1,173.2286,3753.941,10.3,10.3,40,0,1,0
359.852,0.2,299.8766,4937.368,22.21,22.21,40,0,0,0
410.7774,0.25,342.3145,4404.548,26.19,26.19,15,0,0,0
655.0265,0.15,545.8554,5186.692,45.29,45.29,20,0,0,0
988.4411,0.1,823.7009,5921.286,71.4,71.4,40,0,1,0
158.676,0.1,132.23,4128.237,6.4,6.4,65,0,1,0

